Survived,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass
Yes,Mr. Thomas Joseph McCormack,male,19,0,0,7.75,Third
Yes,Mrs. George Nelson (Martha Evelyn) Stone,female,62,0,0,80,First
Yes,Mrs. Antoni (Selini Alexander) Yasbeck,female,15,1,0,14.4542,Third
Yes,Master. George Sibley Richards,male,0.83,1,1,18.75,Second
No,Mr. Amin Saad,male,30,0,0,7.2292,Third
No,Mr. Albert Augustsson,male,23,0,0,7.8542,Third
No,Mr. Owen George Allum,male,18,0,0,8.3,Third
Yes,Miss. Sara Rebecca Compton,female,39,1,1,83.1583,First
No,Mr. Jakob Pasic,male,21,0,0,8.6625,Third
No,Mr. Maurice Sirota,male,20,0,0,8.05,Third
Yes,Mr. Chang Chip,male,32,0,0,56.4958,Third
Yes,Mr. Pierre Marechal,male,29,0,0,29.7,First
No,Mr. Ilmari Rudolf Alhomaki,male,20,0,0,7.925,Third
No,Mr. Thomas Charles Mudd,male,16,0,0,10.5,Second
Yes,Miss. Augusta Serepeca,female,30,0,0,31,First
No,Mr. Peter L Lemberopolous,male,34.5,0,0,6.4375,Third
No,Mr. Jeso Culumovic,male,17,0,0,8.6625,Third
No,Mr. Anthony Abbing,male,42,0,0,7.55,Third
No,Mr. Douglas Bullen Sage,male,18,8,2,69.55,Third
No,Mr. Marin Markoff,male,35,0,0,7.8958,Third
No,Rev. John Harper,male,28,0,1,33,Second
Yes,Mrs. Samuel L (Edwiga Grabowska) Goldenberg,female,40,1,0,89.1042,First
No,Master. Sigvard Harald Elias Andersson,male,4,4,2,31.275,Third
No,Mr. Johan Svensson,male,74,0,0,7.775,Third
No,Miss. Nourelain Boulos,female,9,1,1,15.2458,Third
Yes,Miss. Mary Conover Lines,female,16,0,1,39.4,First
No,Mrs. Ernest Courtenay (Lilian Hughes) Carter,female,44,1,0,26,Second
Yes,Mrs. Sam (Leah Rosen) Aks,female,18,0,1,9.35,Third
Yes,Mrs. George Dennick (Mary Hitchcock) Wick,female,45,1,1,164.8667,First
Yes,Mr. Peter Denis Daly,male,51,0,0,26.55,First
Yes,Mrs. Solomon (Latifa Qurban) Baclini,female,24,0,3,19.2583,Third
No,Mr. Raihed Razi,male,30,0,0,7.2292,Third
No,Mr. Claus Peter Hansen,male,41,2,0,14.1083,Third
No,Mr. Frederick Edward Giles,male,21,1,0,11.5,Second
Yes,Mrs. Frederick Joel (Margaret Welles Barron) Swift,female,48,0,0,25.9292,First
No,Miss. Dorothy Edith Sage,female,14,8,2,69.55,Third
No,Mr. John William Gill,male,24,0,0,13,Second
Yes,Mrs. (Karolina) Bystrom,female,42,0,0,13,Second
Yes,Miss. Asuncion Duran y More,female,27,1,0,13.8583,Second
No,Mr. Washington Augustus II Roebling,male,31,0,0,50.4958,First
No,Mr. Philemon van Melkebeke,male,23,0,0,9.5,Third
Yes,Master. Harold Theodor Johnson,male,4,1,1,11.1333,Third
No,Mr. Cerin Balkic,male,26,0,0,7.8958,Third
Yes,Mrs. Richard Leonard (Sallie Monypeny) Beckwith,female,47,1,1,52.5542,First
No,Mr. Frans Olof Carlsson,male,33,0,0,5,First
No,Mr. Victor Vander Cruyssen,male,47,0,0,9,Third
Yes,Mrs. Samuel (Hannah Wizosky) Abelson,female,28,1,0,24,Second
Yes,Miss. Adele Kiamie Najib,female,15,0,0,7.225,Third
No,Mr. Alfred Ossian Gustafsson,male,20,0,0,9.8458,Third
No,Mr. Nedelio Petroff,male,19,0,0,7.8958,Third
No,Mr. Kristo Laleff,male,23,0,0,7.8958,Third
Yes,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,female,56,0,1,83.1583,First
Yes,Mrs. William (Imanita Parrish Hall) Shelley,female,25,0,1,26,Second
No,Mr. Johann Markun,male,33,0,0,7.8958,Third
No,Miss. Gerda Ulrika Dahlberg,female,22,0,0,10.5167,Third
No,Mr. Frederick James Banfield,male,28,0,0,10.5,Second
No,Mr. Henry Jr Sutehall,male,25,0,0,7.05,Third
No,Mrs. William (Margaret Norton) Rice,female,39,0,5,29.125,Third
No,Rev. Juozas Montvila,male,27,0,0,13,Second
Yes,Miss. Margaret Edith Graham,female,19,0,0,30,First
No,Miss. Catherine Helen Johnston,female,7,1,2,23.45,Third
Yes,Mr. Karl Howell Behr,male,26,0,0,30,First
No,Mr. Patrick Dooley,male,32,0,0,7.75,Third
